"職缺內容","公司名稱","工作內容","地址","薪資","網址"
"系統分析師(System Analyst)","海棠設計股份有限公司","我們希望可以找到一位擁有系統整合規劃落地經驗的系統分析師，除了重視技術驗證經驗，也需擅長溝通，期待你的加入。

工作內容：
1. 同PM確認客製化規格、釐清客戶需求，並進行系統分析作業
2. 與客戶端的IT人員溝通，釐清雙方系統整合上的開發細節
3. 同UX設計師確認Wireframe流程，評估系統開發可行性
4. 提供系統主流程邏輯分析、相關流程所需輸出、入資料欄位規則與驗證、具體分析資料來源
5. 資料庫之資料表設計
6. 第三方系統串接設計、評估
7. 撰寫系統分析文件
8. 撰寫API說明文件
9. 撰寫測試案例，安排測試人員進行逐步測試，確保成品符合規格
10.與工程人員說明系統規劃內容以確保落地實現與規劃相符
11.評估開發人力工時

必備條件：
1. 熟悉.NET Core系統，並且具備跨平台實作經驗
2. 熟悉MSSQL資料庫設計
3. 孰悉Windows Server作業系統相關設定
4. 熟悉Restful API架構
5. 具備系統分析文件之撰寫經驗
6. 具備資安相關基礎知識
7. 良好的溝通能力與團隊協作能力","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/6so54?jobsource=hotjob_chr"")"
"5I新光投信-資深應用程式設計師","新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信)","主要工作項目
1.投信基金事務系統維運與需求開發
2.境外基金系統維運
3.主管交辦之專案管理及開發
4.小組職務代理
本公司使用博暉科技之系統，熟悉博暉系統架構者尤佳。
若熟悉投信基金會計系統、投資管理系統維運及開發，或對自己C#開發技術有自信、有投信工作經驗者也歡迎應徵！","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/72ky8?jobsource=hotjob_chr"")"
"【Ocard顧客經營管家】數據/資料工程師 Data Engineer (擴編招募中)","Ocard_奧理科技股份有限公司","整性、可靠性與效能。
● 資料處理與轉換：開發與管理 ETL（Extract, Transform, Load）流程，將資料從多種來源抽取、清洗並轉換成有用的訊息。
● 資料管道建設：設計並實作資料管道，確保資料能夠從來源順利傳送到分析平台。
●","台北市中山區","年薪580,000~845,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ervj?jobsource=n_my104_search"")"
"資料工程師","雅德思行銷顧問有限公司","與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

資料工程師主要工作內容","台北市大安區","月薪48,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8ep3f?jobsource=n_my104_search"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"資料工程師","廣晉軟體股份有限公司","
需求條件：
1.熟SQL，能獨立作業
2.具二年以上相關經驗

主要工作如下：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ltg0?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","替您錄科技股份有限公司(TGC Taiwan, Inc.)","我們正在尋找一位熱情且富有才華的資料工程師，加入我們的團隊，協助解決廣告投遞的資料內容。

我們希望你具備以下三大特質：
對資料工程領域有強烈興趣和熱情 。
重視團隊合作，具備良好的溝通能力 。
具有自我學習能力，能夠快速適應新技術。

職責：","台北市松山區","月薪58,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ekil?jobsource=n_my104_search"")"
"行政管理部-資訊組-資料工程師(資深專員)","國家住宅及都市更新中心","一、負責資料庫及資料倉儲平台規劃、建置及維護，包括(但不限於)委外廠商評估、專案管理。
二、多來源資料攝取，資料存儲、統計及儀表板的委託開發與維護之專案管理。例(但不限於)：
(一)基於住宅數據、租戶行為、財務報表資料，分析數據及行為，產出管理報","台北市中山區","月薪67,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8cs1j?jobsource=n_my104_search"")"
"資料工程師","松凌科技股份有限公司","需要條件:
1.願意學習保險相關知識
2.對SQL有基本的能力


主要工作如下
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市中正區","月薪35,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/79ccc?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"資料倉儲工程師 Data Engineer-集團徵才-數據科技 (數數發中心, DDT)_I00016337","國泰金控_國泰金融控股股份有限公司","比起工作內容，你應該要先認識我們的團隊：
我們是一個正在成長的資料科學團隊，在找有熱情、想接受挑戰、能一起攜手成長前進的夥伴

我們需要這樣的人：
1. 對資料工程領域有興趣 - 想朝這個方向發展，探索資料科學專業
2. 重視團隊合作 - 在團隊","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/88n29?jobsource=n_my104_search"")"
"資料工程師 (BI)","聯合通商電子商務股份有限公司","(本職務主要為技術工作而非單純的數據分析)
1.  商業智慧(BI)專案需求訪談、系統分析並製作系統需求規格書文件
2.  撰寫整合測試計畫書、測試案例、準備測試資料及測試
3.  Metadata 中介層設計、Dashboard、Report設","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/37tef?jobsource=n_my104_search"")"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","1. 資料倉儲維護與優化
　- 內外部資料整合及收集
　- 資料庫預存程序 (SP) 管理及效能調整

2. 資料清理流程維護及優化
　- 工作流程規劃、建置及維護
　- 具 MSBI (MSSQL/SSIS/SSAS/SSRS/","台北市內湖區","月薪35,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/3o2f1?jobsource=n_my104_search"")"
"科技部 Senior Data Engineer資料工程師(襄理)","麥當勞授權發展商_和德昌股份有限公司"," Warehouse)，以支援使用單位分析報表和資料應用。
• 開發數據處理程序(ETL)，依據業務邏輯進行數據主題設計、歸納，以支援下游系統數據應用。
• 維護並擴充數據字典(Data Dictionary)，包含業務需求、數據設計規格和數據血緣，以確保","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ecsa?jobsource=n_my104_search"")"
"資料工程師 (DW)","聯合通商電子商務股份有限公司","(本職務主要為技術專長的工作)
1.  資料倉儲系統之程式設計及開發
2.  負責專案之程式開發與測試及Code review；包含撰寫SQL/SP及使用ETL工具對資料進行處理、建置資料倉儲，並進行UT測試，撰寫驗證報告
3.   配合專案需求","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/74xkx?jobsource=n_my104_search"")"
"資料工程師","數解人意科技股份有限公司","及合作夥伴多元，包括媒體、媒體代理商、整合行銷、公關、品牌、電子商務、影視產業、政府單位、學術機構及跨國企業等。


▋職務內容
1. 讀取與寫入自建之全文搜尋引擎、SQL 資料庫
2. 使用 ETL 管理工具如 Airflow，開發 ETL","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/85lh8?jobsource=n_my104_search"")"
"數據應用部-資料工程人員","永豐商業銀行股份有限公司"," SSIS ETL)
5.專案管理：內外部單位溝通協調、資料導入需求分析確認、技術評估、進度追蹤等
6.資料視覺：Dashboard開發、資料視覺呈現等網頁維護與開發","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87mf8?jobsource=n_my104_search"")"
"資料工程師(數據應用部)","永豐金證券股份有限公司","析/資料工程相關二年以上工作經驗尤佳

【恰好有以下特質是加分的】
1. 具較強的溝通協調能力和團隊精神，熱愛程式與數據，喜歡研究新技術
2. 樂意跟同事們一起討論打造創新
3. 對大數據平台建置及程式開發有經驗或興趣者
","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ctxn?jobsource=n_my104_search"")"
"ETL軟體工程師","雙子數位科技有限公司","嗨～～哈囉～

你是本公司要找的ETL資料倉儲高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在ETL數據實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 收集需求和業務流程知識，以便將資料轉換為方式，以滿足最終用戶的需求。","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/758vi?jobsource=n_my104_search"")"
"資料工程專業人員(資料工程部)","國泰綜合證券股份有限公司","實務應用
5. 協助企劃、行銷團隊進行數據分析

【需求條件】
1. 資訊工程、資訊管理、財稅金融相關科系畢或具備程式開發工作經驗
2. 具T-SQL語法及Stored Procedure開發經驗 
3. 有開發C#或ASP.Net、Python等","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6vb99?jobsource=n_my104_search"")"
"【研究發展處】Big Data Engineer 資料工程師 / Senior Big Data Engineer 資深資料工程師","現觀科技股份有限公司","Dashboard Visualization，並與產品開發團隊進行資料探勘及研究。

[工作內容]
1.開發大數據系統資料處理平台
2.串流資料平行處理程序開發,熟悉分散式運算,平行運算
3.解決大量資料處理時所衍生的效能,擴充與維護維運資料庫","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7bdqr?jobsource=n_my104_search"")"
"網路助理工程師★火熱招募中★年終獎金等優厚完善的福利★","文德福網絡服務有限公司","1. 電腦系統軟硬體設備安裝。
2. 資訊系統和設備相關維護。
3. 資訊問題判斷與異常排除。
4. 其他主管交辦事項。
","台北市中山區","月薪30,000~40,000元","=HYPERLINK(""http:////www.104.com.tw/job/6kv9h?jobsource=hotjob_chr"")"
"JAVA 資深工程師","捷鵬國際股份有限公司","1.負責資訊系統之程式開發、單元測試撰寫、功能測試
2.負責資料庫程式開發與維護
3.負責系統開發相關文件撰寫
4.負責系統維護管理與功能更新
5.負責程式資安議題處理及修正
6.新技術構建評估及導入
","台北市大安區","月薪50,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8etcj?jobsource=hotjob_chr"")"
"ETL資料工程師","緯德科技股份有限公司 (TechLink Corporation)","- 熟悉資料庫之SQL語法執行ETL資料轉換作業(ETL Job Developing、IBM DataStage、Informatica PowerCenter、Microsoft SSIS、Trinity)實務經驗1年以上。
- 熟悉資料庫安","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/5e9ei?jobsource=n_my104_search"")"
"EBS 財務系統暨資料倉儲工程師","三井住友海上集團_明台產物保險股份有限公司_數位科技處","1.各項資料蒐集、盤點與管理，持續優化資料品質並執行改善計畫。
2.資料倉儲ETL設計、開發與維護，改善ETL效能並依各營運需求建立DM。
3.針對各類資料應用場景，與使用者進行需求訪談、系統分析與程式開發。
4. 參與新專案資料架構、分析與執行","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7tise?jobsource=n_my104_search"")"
"軟體工程師_數據工程師ETL_101D","金財通商務科技服務股份有限公司","
1.資料數據 ETL 流程規劃、開發與維護。
2.配合公司專案需求至客戶端駐點服務。

【其他】
1.對於工作具有熱情，且性情穩定並願意配合專案時程投入者。
2.學習能力強、能主動發現問題並尋求最佳解決方案。
3.樂於溝通與分享、優良的團隊合作者。","台北市松山區","月薪30,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/718kr?jobsource=n_my104_search"")"
"ETL 工程師 (PS2A0)","資拓宏宇國際股份有限公司","績效獎金系統開發

1.熟悉MS SQL的操作
2.熟悉TSQL語法
3.熟悉ETL工具(會Trinity、Greenplum尤佳)
4.熟悉Git使用方式
5.邏輯推理能力良好
6.具有資料分析經驗、細心、負責","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8erqb?jobsource=n_my104_search"")"
"資料工程師(資訊策略發展部)_I00017395","國泰綜合證券股份有限公司","【工作內容】
1. 負責Hadoop、Spark相關數據湖open source維運以及優化
2. 數據分析、應用之相關程式(Python)開發
3. 負責Airflow維運
4. ETL數據清洗與數據模型程式維運與開發
5. 資料庫規劃、設計及","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cmdl?jobsource=n_my104_search"")"
"資料工程師 / 數據服務架構師","玉山綜合證券股份有限公司","1. 資料倉儲管理與數據中心建置與管理
2. 負責資料蒐集及處理各項數據、資料建模、ETL 流程設計及演算法開發
3. 運用常見的 ML 或是 AI 演算法建立行銷、風險管理和流程自動化等應用服務
4. 進行數據應用與串接之需求訪談
5. 營運事","台北市松山區","月薪35,000~40,000元","=HYPERLINK(""http:////www.104.com.tw/job/889qn?jobsource=n_my104_search"")"
"DataStage ETL 數據工程師","一騰資訊服務股份有限公司"," 熟悉Python語法
4. 具備Teradata或其他資料倉儲管理及開發經驗
5. 具備ETL邏輯梳理、規劃、及文件產出能力","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/80o7m?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_ 數據管理_I00003122","國泰世華商業銀行股份有限公司_人力資源部","【主要職責 Who we are looking for】 
負責企業資料倉儲之數據管理，包含 : 資料市集設計、海內外倉儲ETL批次之開發/維運/監控、倉儲相關數據整合加值運用與分析，提供高品質與有價值的資料分析應用。 
【職務說明 What","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89ofn?jobsource=n_my104_search"")"
"資料工程師 Data Engineer","果實夥伴股份有限公司","【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 依據不同業務需求，完成建置/維運/更新各式 Data infra 的需求
- 與數據產品管理","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7dpwf?jobsource=n_my104_search"")"
"《台北中山》資料工程師","敦謙國際智能科技股份有限公司","• 營運策略系統 (RMS)
• 定價採集，多平台房源定價的抓取和分析工作，建立資料數據。
• 定價分析，善用資料探勘技術，分類分群並歸納出定價策略。
• 定價建議，根據數據透過機器學習，協助旅宿決定房間最佳定價。
• 建模預測，根據歷史銷售資料","台北市中山區","月薪42,000~90,000元","=HYPERLINK(""http:////www.104.com.tw/job/7b120?jobsource=n_my104_search"")"
"資料工程師","云智資訊股份有限公司","1. 3年以上 ETL 相關經驗。
2. 熟悉SQL語法、ETL(會Trinity、Greenplum尤佳)。
3. 具有資料分析經驗、細心、負責。
4. 溝通能力良好，可與 SA/PM 或其他 PG 協力合作。","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ihuk?jobsource=n_my104_search"")"
"資料分析工程師 Analytics Engineer (Data) [RD]","酷遊天股份有限公司","財務等。
 

【我們期待你具備】
1. 具備 2 年以上在資料領域擔任資料分析師、資料工程師或同等職位。
2. 能直接面對需求單位，具備細心、耐心、清晰的邏輯思維與簡報能力。
3. 熟悉 Python/SQL 開發資料操作與分析程式能力，並具有","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8aott?jobsource=n_my104_search"")"
"資料工程師","圖靈數位股份有限公司","行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7v0e3?jobsource=n_my104_search"")"
"【數據】(資深)資料工程師 / (Senior) Data Engineer","LINE GO_觔斗雲聯網科技股份有限公司","
- 與資料分析師、資料科學家合作共同打造數據產品，進行模型自動化與架構設計，確保模型部署與應用
- 協助撰寫數據架構與相關文件
- 其他主管交辦事項

【如果你符合這個職位，我相信】
1.你是位對數據不視為理所當然、勇於自主學習與分享並喜愛接受挑","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ai?jobsource=n_my104_search"")"
"資料倉儲專案主管(內湖總公司)","昇恒昌股份有限公司","1.主導數據倉儲改建專案及專案管理
2.Data Warehouse之導入、建置、管理
3.具有ETL、Data model設計能力
4.具有Teradata經驗者佳
5.跨部門溝通數據相關事務","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8excp?jobsource=n_my104_search"")"
"[LAC] Data Engineer_資料工程師","LAC(保健食品領導品牌)_新加坡商利維喜開發股份有限公司台灣分公司","1. 與各需求單位進行訪談，釐清問題，並且及時有效、準確的產生各種需求報告
2. 根據會員和銷售資料庫，提供數據驅動的報告
3. 其他主管交辦事宜
","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8315o?jobsource=n_my104_search"")"
"資料工程師(Data Integration Engineer)","鑫享科技有限公司","我們正在尋找一位對數據領域有熱情的資料整合工程師，加入我們的團隊。
此職位將負責設計、開發和維護數據整合解決方案，確保公司數據的有效整合和應用。

主要職責：
1. 設計和實施數據整合架構和流程，以確保數據從不同來源的有效收集、轉換和加載（ETL","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cq87?jobsource=n_my104_search"")"
"數據ETL/資料分析師","昇恒昌股份有限公司","工作內容:
1 設計和建立資料分析報告和資料儀表板，
2.提供資訊視覺化及說明分析。
3.運用統計概念與資料驅動思維，收集和清理各類型資料，並設計資料分析方法，建立相關資料應用。
4.跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、","台北市內湖區","月薪40,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/878sb?jobsource=n_my104_search"")"
"資料工程師-情報系統二team【全家便利商店關係企業】","精藤股份有限公司","

職務內容如下：
1.	管理／維運數據中台，負責數據的蒐集、交換、儲存、清理，執行ETL作業，把關資料正確性與品質。
2.	製作BI儀錶板，供使用者檢視經營指標。
3.	協助建置數據治理環境與制度。
4.	配合資料分析相關作業，並對需求者簡報。
5.","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/84xyg?jobsource=n_my104_search"")"
"軟體助理工程師","博格科技股份有限公司","本公司為台灣企業流程軟體領導品牌，擁有上百家成功案例，服務客戶為80%以上之上市櫃公司。因應應用市場的成長，擴大招募銷售服務的團隊，希望有興趣在企業軟體產業發展的伙伴加入。
主要工作內容下:
1.人格特質：反應靈敏機伶、主動積極勤快、高EQ、學習力強、細心
2.在主管帶領下進行軟體協同表單開發撰寫
 (1).前端網頁以Html5、JQuery應用為主。
 (2).後端網頁以MVC、 .Net c#、SQL Server應用為主 。 
3.資訊相關科系畢業、 需有 C# 及 MS SQL 基礎","台北市大安區","月薪32,000~35,000元","=HYPERLINK(""http:////www.104.com.tw/job/54z7k?jobsource=hotjob_chr"")"
"PLSQL ETL工程師","一騰資訊服務股份有限公司","【職務需求】
1. PLSQL程式能力
2. 具備ETL概念及熟悉SQL語法

【工作內容】
1. 開發文件撰寫
2. 程式開發
3. 主管交付事宜

【在這裡你可以】
● 參與銀行系統專案，踏入金融產業的好跳板，獲得更多銀行微服務業務邏輯的經驗","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87wai?jobsource=n_my104_search"")"
"數據工程師","中國化學製藥股份有限公司","1.數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程 
2.數據串接 - 協助串接內外部資料，應用資料 
3.系統優化 - 程式碼與文件維護、效能優化
~熟悉視覺化軟體如 Tableau, Power BI 者加分~

","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a8zz?jobsource=n_my104_search"")"
"【ETL】數據工程師","綠色遊戲有限公司","1、參與資料庫的設計和實施工作； 
2、負責專案中資料處理相關的大量腳本開發與報表開發工作；
3、負責測試、投產以及投產演練過程中的資料移轉工作。","台北市大安區","年薪600,000~1,800,000元","=HYPERLINK(""http:////www.104.com.tw/job/8cuxs?jobsource=n_my104_search"")"
"FinTech資料工程師(台北)【BU68-FHA】","敦陽科技股份有限公司","1. 國際FinTech金融科技軟體系統的導入建置、測試及維護
2. 與國外軟體工程師共同解決軟體系統相關問題
3. 金融系統整合之客製化軟體開發，例如：數據資料處理、AI模型建置
4. FinTech金融科技技術、產品研究，例如：洗錢防制(","台北市內湖區","月薪30,000~70,000元","=HYPERLINK(""http:////www.104.com.tw/job/4bs41?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)_資訊部","樂天國際商業銀行股份有限公司","主要工作內容：

1.     善於溝通，須因應資料應用場景，進行需求訪談、系統分析與程式開發
2.     熟悉ODS資料管理機制及數據分析
3.     主要負責資料庫之SQL相關程式開發/維護與SmarQuery報表需求分析、開發
4.","台北市北投區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/719na?jobsource=n_my104_search"")"
"數據工程師Data Engineer","統一資訊股份有限公司","效能精進有興趣之人才，與我們攜手打造貼近客戶運用之數據服務。

【工作內容】
1. 熟悉資料倉儲與數據湖概念，進行數據清洗、資料整備等相關數據轉換與整合。
2. 熟悉數據工程的ETL流程，處理數據開發、自動化、測試、監控、佈署等相關技術解決方案。","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4bma8?jobsource=n_my104_search"")"
